"","site_id","tran_id","date","col_point","1_dist","2_dist","3_dist","4_dist"
"159","white_reef","WR008","4/6/2025",4,81,118,129,187
"160","white_reef","WR008","4/6/2025",5,80,95,106,76
"161","white_reef","WR048","4/6/2025",1,156,229,264,223
"162","white_reef","WR048","4/6/2025",2,401,178,244,219
"163","white_reef","WR048","4/6/2025",3,303,149,536,352
"164","white_reef","WR048","4/6/2025",4,64,268,192,400
"165","white_reef","WR048","4/6/2025",5,505,927,719,841
"166","white_reef","WR112","4/6/2025",1,404,272,813,242
"167","white_reef","WR112","4/6/2025",2,639,505,453,508
"168","white_reef","WR112","4/6/2025",3,824,505,970,303
"169","white_reef","WR112","4/6/2025",4,184,98,183,64
"170","white_reef","WR112","4/6/2025",5,144,157,91,211
"171","white_reef","WR120","4/6/2025",1,348,87,400,98
"172","white_reef","WR120","4/6/2025",2,260,53,505,642
"173","white_reef","WR120","4/6/2025",3,505,247,280,318
"174","white_reef","WR120","4/6/2025",4,153,310,505,505
"175","white_reef","WR120","4/6/2025",5,592,142,220,170
"176","cove_wash","CW149","4/7/2025",1,238,121,241,139
"177","cove_wash","CW149","4/7/2025",2,219,114,130,163
"178","cove_wash","CW149","4/7/2025",3,112,116,313,140
"179","cove_wash","CW149","4/7/2025",4,108,310,368,177
"180","cove_wash","CW149","4/7/2025",5,126,96,103,321
"181","cove_wash","CW037","4/7/2025",1,256,131,290,248
"182","cove_wash","CW037","4/7/2025",2,116,87,286,173
"183","cove_wash","CW037","4/7/2025",3,93,176,97,462
"184","cove_wash","CW037","4/7/2025",4,178,116,132,161
"185","cove_wash","CW037","4/7/2025",5,131,139,110,233
"186","cove_wash","CW015","4/7/2025",1,113,179,119,134
"187","cove_wash","CW015","4/7/2025",2,133,108,81,81
"188","cove_wash","CW015","4/7/2025",3,129,197,205,254
"189","cove_wash","CW015","4/7/2025",4,57,90,88,195
"190","cove_wash","CW015","4/7/2025",5,152,80,98,110
"191","cove_wash","CW071","4/7/2025",1,219,309,218,244
"192","cove_wash","CW071","4/7/2025",2,148,122,137,120
"193","cove_wash","CW071","4/7/2025",3,229,317,141,221
"194","cove_wash","CW071","4/7/2025",4,505,187,505,352
"195","cove_wash","CW071","4/7/2025",5,137,162,118,149
"196","paradise_canyon","PC142","4/8/2025",1,83,123,200,71
"197","paradise_canyon","PC142","4/8/2025",2,155,176,215,94
"198","paradise_canyon","PC142","4/8/2025",3,284,280,57,101
"199","paradise_canyon","PC142","4/8/2025",4,168,112,147,106
"200","paradise_canyon","PC142","4/8/2025",5,233,127,136,130
"201","paradise_canyon","PC049","4/8/2025",1,131,108,177,144
"202","paradise_canyon","PC049","4/8/2025",2,505,102,106,77
"203","paradise_canyon","PC049","4/8/2025",3,505,505,336,345
"204","paradise_canyon","PC049","4/8/2025",4,185,78,173,99
"205","paradise_canyon","PC049","4/8/2025",5,150,32,159,18
"206","paradise_canyon","PC041","4/8/2025",1,79,179,451,419
"207","paradise_canyon","PC041","4/8/2025",2,112,168,300,110
"208","paradise_canyon","PC041","4/8/2025",3,417,69,358,145
"209","paradise_canyon","PC041","4/8/2025",4,224,94,150,65
"210","paradise_canyon","PC041","4/8/2025",5,193,206,375,204
"211","paradise_canyon","PC093","4/8/2025",1,84,161,320,378
"212","paradise_canyon","PC093","4/8/2025",2,505,505,505,505
"213","paradise_canyon","PC093","4/8/2025",3,232,100,107,277
"214","paradise_canyon","PC093","4/8/2025",4,354,400,117,430
"215","paradise_canyon","PC093","4/8/2025",5,86,114,150,184
"216","sun_river","SR048","4/9/2025",1,393,232,319,125
"217","sun_river","SR048","4/9/2025",2,295,260,515,322
"218","sun_river","SR048","4/9/2025",3,89,101,131,77
"219","sun_river","SR048","4/9/2025",4,160,288,126,190
"220","sun_river","SR048","4/9/2025",5,505,464,505,265
"221","sun_river","SR068","4/9/2025",1,154,83,370,159
"222","sun_river","SR068","4/9/2025",2,109,216,146,261
"223","sun_river","SR068","4/9/2025",3,87,112,175,206
"224","sun_river","SR068","4/9/2025",4,131,355,505,349
"225","sun_river","SR068","4/9/2025",5,100,170,73,195
"226","sun_river","SR107","4/9/2025",1,134,176,54,297
"227","sun_river","SR107","4/9/2025",2,129,69,111,105
"228","sun_river","SR107","4/9/2025",3,254,84,814,413
"229","sun_river","SR107","4/9/2025",4,256,65,852,142
"230","sun_river","SR107","4/9/2025",5,337,185,171,164
"231","sun_river","SR115","4/9/2025",1,288,597,144,80
"232","sun_river","SR115","4/9/2025",2,67,181,182,294
"233","sun_river","SR115","4/9/2025",3,79,147,98,83
"234","sun_river","SR115","4/9/2025",4,118,159,159,206
"235","sun_river","SR115","4/9/2025",5,105,130,226,149
"236","sun_river","SR115","4/9/2025",6,107,117,142,304
"237","turkey_farm","TF145","4/10/2025",1,505,277,406,419
"238","turkey_farm","TF145","4/10/2025",2,110,247,332,299
"239","turkey_farm","TF145","4/10/2025",3,87,192,170,283
"240","turkey_farm","TF145","4/10/2025",4,334,133,505,505
"241","turkey_farm","TF145","4/10/2025",5,176,117,505,145
"242","turkey_farm","TF011","4/10/2025",1,228,178,126,220
"243","turkey_farm","TF011","4/10/2025",2,74,172,98,396
"244","turkey_farm","TF011","4/10/2025",3,109,94,87,113
"245","turkey_farm","TF011","4/10/2025",4,78,127,121,108
"246","turkey_farm","TF011","4/10/2025",5,356,165,505,305
"247","turkey_farm","TF092","4/10/2025",1,102,128,104,338
"248","turkey_farm","TF092","4/10/2025",2,278,333,527,141
"249","turkey_farm","TF092","4/10/2025",3,179,144,127,169
"250","turkey_farm","TF092","4/10/2025",4,468,217,415,361
"251","turkey_farm","TF092","4/10/2025",5,808,972,269,74
"252","turkey_farm","TF149","4/10/2025",1,174,173,116,282
"253","turkey_farm","TF149","4/10/2025",2,112,78,114,123
"254","turkey_farm","TF149","4/10/2025",3,106,177,174,85
"255","turkey_farm","TF149","4/10/2025",4,299,418,343,119
"256","turkey_farm","TF149","4/10/2025",5,300,94,122,144
"257","white_reef","WR009","4/11/2025",1,271,108,207,189
"258","white_reef","WR009","4/11/2025",2,220,184,163,191
"259","white_reef","WR009","4/11/2025",3,114,159,137,97
"260","white_reef","WR009","4/11/2025",4,253,190,249,505
"261","white_reef","WR009","4/11/2025",5,505,459,235,143
"262","white_reef","WR135","4/11/2025",1,505,259,505,505
"263","white_reef","WR135","4/11/2025",2,47,165,98,151
"264","white_reef","WR135","4/11/2025",3,314,235,268,150
"265","white_reef","WR135","4/11/2025",4,103,211,131,101
"266","white_reef","WR135","4/11/2025",5,107,112,108,163
"267","white_reef","WR066","4/11/2025",1,336,385,321,310
"268","white_reef","WR066","4/11/2025",2,51,74,65,56
"269","white_reef","WR066","4/11/2025",3,44,59,75,90
"270","white_reef","WR066","4/11/2025",4,505,505,505,216
"271","white_reef","WR066","4/11/2025",5,221,426,175,355
"272","white_reef","WR138","4/11/2025",1,130,320,71,505
"273","white_reef","WR138","4/11/2025",2,505,135,280,160
"274","white_reef","WR138","4/11/2025",3,136,48,174,138
"275","white_reef","WR138","4/11/2025",4,213,69,120,80
"276","white_reef","WR138","4/11/2025",5,74,156,98,273
"277","cove_wash","CW098","4/12/2025",1,281,171,136,157
"278","cove_wash","CW098","4/12/2025",2,166,276,125,174
